Seed_1,Seed_2,OT,Round,Year,Winner
16,16,0,0,22,NA
12,12,0,0,22,NA
16,16,0,0,22,NA
11,11,1,0,22,NA
11,6,0,1,22,NA
13,4,0,1,22,NA
9,8,0,1,22,Lower
16,1,0,1,22,NA
14,3,0,1,22,NA
12,5,0,1,22,NA
16,1,0,1,22,NA
9,8,0,1,22,NA
12,5,0,1,22,NA
15,2,1,1,22,Lower
9,8,1,1,22,NA
12,5,0,1,22,NA
13,4,0,1,22,NA
13,4,0,1,22,NA
10,7,1,1,22,Lower
16,1,0,1,22,NA
10,7,0,1,22,NA
15,2,0,1,22,NA
14,3,0,1,22,NA
14,3,0,1,22,NA
15,2,0,1,22,NA
10,7,0,1,22,NA
11,6,0,1,22,NA
11,6,0,1,22,NA
13,4,0,1,22,NA
15,2,0,1,22,NA
16,1,0,1,22,NA
11,6,0,1,22,NA
10,7,0,1,22,NA
12,5,0,1,22,NA
9,8,0,1,22,NA
14,3,0,1,22,NA
8,1,1,2,22,Lower
9,1,0,2,22,NA
11,3,0,2,22,NA
12,4,0,2,22,NA
5,4,0,2,22,NA
15,7,0,2,22,NA
12,4,0,2,22,NA
9,1,0,2,22,NA
5,4,0,2,22,NA
7,2,0,2,22,NA
7,2,0,2,22,NA
11,3,0,2,22,NA
11,3,0,2,22,NA
10,2,0,2,22,NA
6,3,0,2,22,NA
9,1,1,2,22,Higher
4,1,0,3,22,NA
11,2,0,3,22,NA
3,2,0,3,22,NA
5,1,0,3,22,NA
15,3,0,3,22,NA
4,1,0,3,22,NA
8,4,0,3,22,NA
11,10,0,3,22,NA
5,2,0,4,22,NA
4,2,0,4,22,NA
10,1,0,4,22,NA
15,8,0,4,22,NA
2,1,0,5,22,NA
8,2,0,5,22,NA
8,1,0,6,22,NA
11,11,0,0,21,NA
11,11,1,0,21,NA
16,16,0,0,21,NA
16,16,0,0,21,NA
16,1,0,1,21,NA
9,8,0,1,21,NA
12,5,0,1,21,NA
13,4,0,1,21,NA
11,6,0,1,21,NA
14,3,0,1,21,NA
10,7,0,1,21,NA
15,2,1,1,21,Lower
16,1,0,1,21,NA
9,8,0,1,21,NA
12,5,0,1,21,NA
13,4,0,1,21,NA
11,6,0,1,21,NA
14,3,0,1,21,NA
10,7,0,1,21,NA
15,2,0,1,21,NA
16,1,0,1,21,NA
9,8,0,1,21,NA
12,5,0,1,21,NA
13,4,0,1,21,NA
11,6,0,1,21,NA
14,3,0,1,21,NA
10,7,0,1,21,NA
15,2,0,1,21,NA
16,1,0,1,21,NA
9,8,0,1,21,NA
12,5,0,1,21,NA
13,4,0,1,21,NA
11,6,0,1,21,NA
14,3,0,1,21,NA
10,7,0,1,21,NA
15,2,0,1,21,NA
9,1,0,2,21,NA
6,3,0,2,21,NA
15,7,0,2,21,NA
13,5,0,2,21,NA
8,1,0,2,21,NA
10,2,0,2,21,NA
11,3,0,2,21,NA
12,4,0,2,21,NA
8,1,0,2,21,NA
10,2,0,2,21,NA
5,4,0,2,21,NA
14,11,0,2,21,NA
8,1,0,2,21,NA
7,2,0,2,21,NA
6,3,0,2,21,NA
13,5,0,2,21,NA
5,1,0,3,21,NA
15,3,0,3,21,NA
11,2,0,3,21,NA
12,8,0,3,21,NA
4,1,0,3,21,NA
11,2,0,3,21,NA
5,1,0,3,21,NA
7,6,0,3,21,NA
3,1,0,4,21,NA
12,2,0,4,21,NA
11,1,0,4,21,NA
6,1,0,4,21,NA
2,1,0,5,21,NA
11,1,0,5,21,NA
1,1,0,6,21,NA
16,16,0,0,19,NA
11,11,0,0,19,NA
16,16,0,0,19,NA
11,11,0,0,19,NA
16,1,0,1,19,NA
15,2,0,1,19,NA
14,3,0,1,19,NA
13,4,0,1,19,NA
12,5,0,1,19,NA
11,6,0,1,19,NA
10,7,0,1,19,NA
9,8,0,1,19,NA
16,1,0,1,19,NA
15,2,0,1,19,NA
14,3,0,1,19,NA
13,4,0,1,19,NA
12,5,0,1,19,NA
11,6,0,1,19,NA
10,7,0,1,19,NA
9,8,0,1,19,NA
16,1,0,1,19,NA
15,2,0,1,19,NA
14,3,0,1,19,NA
13,4,0,1,19,NA
12,5,0,1,19,NA
11,6,0,1,19,NA
10,7,0,1,19,NA
9,8,0,1,19,NA
16,1,0,1,19,NA
15,2,0,1,19,NA
14,3,0,1,19,NA
13,4,0,1,19,NA
12,5,0,1,19,NA
11,6,0,1,19,NA
10,7,0,1,19,NA
9,8,0,1,19,NA
9,1,0,2,19,NA
10,2,0,2,19,NA
6,3,0,2,19,NA
12,4,0,2,19,NA
9,1,0,2,19,NA
10,2,0,2,19,NA
6,3,0,2,19,NA
12,4,0,2,19,NA
9,1,0,2,19,NA
10,2,1,2,19,Higher
6,3,0,2,19,NA
13,12,0,2,19,NA
9,1,0,2,19,NA
10,2,0,2,19,NA
11,3,0,2,19,NA
5,4,0,2,19,NA
4,1,0,3,19,NA
3,2,0,3,19,NA
4,1,0,3,19,NA
3,2,0,3,19,NA
12,1,0,3,19,NA
3,2,1,3,19,Lower
5,1,0,3,19,NA
3,2,0,3,19,NA
2,1,0,4,19,NA
3,1,0,4,19,NA
3,1,1,4,19,Higher
5,2,1,4,19,Lower
5,1,0,5,19,NA
3,2,0,5,19,NA
3,1,1,6,19,Higher
